id,title,release_date,vote_average,vote_count,budget,revenue,runtime,tagline,adult,production_companies,countries,language
1359639,Atript Atma,1983-01-01,0.0,0,0,0,0,,False,[],['India'],hi
1358123,"Heiko Fipper's ""Freitag Der 13""",1983-01-01,0.0,0,0,0,4,,False,[],[],de
1318305,Prey,1983-01-01,0.0,0,0,0,14,,False,['Badgefilms'],['New Zealand'],en
1318082,The Basement,1983-01-01,0.0,0,0,0,0,,False,[],['United States of America'],en
1316581,Kaibyō Arima goten,1983-01-01,0.0,0,0,0,92,,False,[],['Japan'],ja
1263613,The Day the Shopping Carts Came to Life,1983-01-01,0.0,0,0,0,4,,False,[],['United States of America'],en
1248549,Es,1983-01-01,0.0,0,0,0,70,,False,['Studio Köln'],['Germany'],de
1234349,Vampire,1983-01-01,0.0,0,0,0,21,,False,[],[],en
1202819,The Devil and Tom Walker,1983-01-01,0.0,0,0,0,13,,False,"['Portland Public Schools Talented & Gifted Education', 'Wilson High School Library', 'Vivian & John Allison', 'Natureboy Media', ""Slumb'ring Tortoise Productions""]",['United States of America'],en
1190953,The Mystery of Nam Prai,1983-01-01,0.0,0,0,0,103,,False,['Sahamongkolfilm'],['Thailand'],th
1188807,Nightmare Club,1983-01-01,0.0,0,0,0,4,,False,[],[],en
1175310,Dracula,1983-01-01,0.0,0,0,0,0,,False,[],['Thailand'],th
1175294,Paranormal Oil,1983-01-01,0.0,0,0,0,104,,False,[],['Thailand'],th
1172333,Demon and the Magic Talisman,1983-01-01,0.0,0,0,0,0,,False,['PT Inem Film'],['Indonesia'],id
1146740,WRAAK,1983-01-01,0.0,0,0,0,8,,False,[],[],nl
1136508,Strange Tangents,1983-01-01,0.0,0,0,0,23,,False,['Chorvinsky Studios'],['United States of America'],en
957418,Riders of the Wind,1983-01-01,0.0,0,0,0,60,,False,['Televizija Skopje'],"['Yugoslavia', 'United States of America']",mk
950823,Chase,1983-01-01,0.0,0,0,0,23,,False,"['Makedonija Film', 'Televizija Skopje']",['Yugoslavia'],mk
923028,Apteczka pierwszej pomocy,1983-01-01,0.0,0,0,0,8,,False,['Studio Filmów Animowanych (Kraków)'],['Poland'],pl
894469,Edgar and the Raven,1983-01-01,0.0,0,0,0,13,,False,[],['Brazil'],pt
886136,Frankenstein 83,1983-01-01,10.0,1,0,0,32,,False,"['Astro Records & Filmworks', 'VZ Handels GmbH']",['Germany'],de
886122,Graf Dracula Junior,1983-01-01,10.0,1,0,0,43,,False,"['Astro Records & Filmworks', 'VZ Handels GmbH']",['Germany'],de
827285,At the Door of Darkness,1983-01-01,2.0,1,0,0,8,,False,[],['United States of America'],en
633012,Wolfman vs. Godzilla,1983-01-01,10.0,9,0,0,36,,False,[],['Japan'],ja
611170,Revenge from the Tomb,1983-01-01,0.0,0,0,0,105,Dendam Dari Pusara,False,[],['Malaysia'],ms
569849,Der Weihnachtsbaum,1983-01-01,0.0,0,0,0,18,,False,[],['Germany'],de
522297,Trial by Terror,1983-01-01,3.0,1,0,0,90,There's an intruder in the house... You get a gun... You do what you have to...,False,[],[],en
454052,Beyond Dream's Door,1983-01-01,0.0,0,0,0,21,,False,[],['United States of America'],en
425266,Cursed Woods,1983-01-01,3.0,1,0,0,19,,False,['VideasFilms'],['United Kingdom'],en
422060,The Greenhouse,1983-01-01,3.8,4,0,0,76,,False,[],['Spain'],es
419623,Alligator Queen,1983-01-01,5.0,1,0,0,82,,False,[],['Indonesia'],id
418964,Nyi Ageng the Decoy Queen,1983-01-01,0.0,0,0,0,0,,False,[],[],id
417620,"Strasek, der Vampir",1983-01-01,8.0,1,0,0,55,,False,['Theodor Boder Produktion'],['Switzerland'],de
366809,The Sandman,1983-01-01,10.0,2,0,0,71,,False,[],['Germany'],de
341725,Beasts,1983-01-01,4.3,3,0,0,92,,False,[],['Canada'],en
332755,Possibly in Michigan,1983-01-01,7.588,68,0,0,12,Have we met before?,False,"['Ohio Arts Council', 'National Endowment for the Arts']",['United States of America'],en
322584,Snake Woman,1983-01-01,0.0,0,0,0,90,,False,"['Artrium Film Production (H.K.) Co., Ltd.']","['South Korea', 'Taiwan']",zh
322418,Evil Hits Evil,1983-01-01,0.0,0,0,0,85,,False,['Daeyeong Films'],"['Taiwan', 'South Korea']",ko
318381,On the Third Day,1983-01-01,0.0,0,0,0,95,Beware the stranger… he's waiting for you.,False,[],['United Kingdom'],en
318000,Lock,1983-01-01,1.0,1,0,0,80,,False,"['Les Films Gais et en Couleur', 'Cinex']","['Belgium', 'France']",en
317985,E.T. is Estong Tutong,1983-01-01,0.0,0,0,0,0,,False,['Archer Productions'],['Philippines'],en
303480,鬼掩眼,1983-01-01,0.0,0,0,0,0,,False,[],[],zh
302749,The Black Spider,1983-01-01,5.75,2,0,0,98,,False,[],['Switzerland'],de
281973,The Dark Side of the Sun,1983-01-01,0.0,0,0,0,282,,False,['BBC'],['United Kingdom'],en
224007,Vultures,1983-01-01,3.0,3,0,0,101,It'll eat you alive!,False,['Star World Productions'],['United States of America'],en
213215,The Returning,1983-01-01,2.8,3,0,0,90,A curse born after a thousand years... ...coming for revenge!,False,['Willow Productions Company'],['United States of America'],en
144837,Demon Hunter,1983-01-01,5.4,8,0,0,93,,False,['Cinematográfica Intercontinental'],['Mexico'],es
127358,Hell,1983-01-01,5.1,15,0,0,17,,False,['Tallinnfilm'],['Soviet Union'],et
